ticker,company_name,industry_code,industry_name,chain_kg_score,product_signal_weight,matched_product_keywords,top_chain_products
600346.SH,恒力石化,750301,炼油化工,4.847523,3.847523,PTA;涤纶;精对苯二甲酸;聚酯,精对苯二甲酸生产销售(0.842); 聚酯纤维制造(0.732); 民用涤纶长丝(0.673); 石油化工分部(0.623); PTA(0.524); 石化分部(0.514); 炼化分部(0.389); 聚酯纤维生产和销售(0.344)
000703.SZ,恒逸石化,750301,炼油化工,2.987047,1.987047,DTY;FDY;POY;PTA;涤纶;炼油;精对苯二甲酸;聚酯,PTA(0.410); 精对苯二甲酸(0.410); 涤纶丝(0.294); 炼油(0.230); 涤纶预取向丝(0.124); POY丝(0.124); 涤纶牵伸丝(0.114); FDY丝(0.114)
000510.SZ,新金路,220202,氯碱,2.878502,1.878502,PVC;烧碱,PVC树脂(0.729); PVC树脂(0.729); 烧碱(0.210); 烧碱(0.210); 烟(0.001); 针纺织品自产自销(0.001); 家用电器修理(0.001); 酒零售(0.001)
002476.SZ,宝莫股份,750303,其他石化,2.407914,2.407914,丙烯;聚丙烯,聚丙烯酰胺干粉-采油用(0.762); 采油专用阴离子聚丙烯酰胺(0.727); 聚丙烯胺干粉-采油用(0.686); 非油田化学品(0.265); 非油田用化学品(0.117); 光伏发电(0.084); 阳离子聚丙烯胺系列(0.070); 阳离子聚丙烯酰胺系列(0.067)
603225.SH,新凤鸣,220401,涤纶,2.286822,1.286822,DTY;FDY;POY;PTA;精对苯二甲酸;聚酯,POY(0.623); PTA(0.295); FDY(0.223); DTY(0.096); 精对苯二甲酸(0.035); 复合丝(0.028); 聚酯切片(0.011); 平牵丝(0.009)
002493.SZ,荣盛石化,750301,炼油化工,2.237192,1.237192,PTA;涤纶;炼油;聚酯;芳烃,PTA(0.674); 芳烃系列(0.235); 涤纶牵伸丝(0.138); 涤纶加弹丝(0.101); 聚酯切片(0.044); 炼油(0.032); 薄膜系列(0.024); 涤纶预取向丝(0.013)
600722.SH,金牛化工,220202,氯碱,2.225987,1.225987,PVC;烧碱;甲醇,PVC树脂(0.865); 甲醇(0.189); 烧碱液氯(0.172); 商品销售(0.086); 水泥(0.045); 软件销售(0.003); 零售化工原料(0.001); 氯化氢气体(0.001)
000301.SZ,东方盛虹,750301,炼油化工,2.146982,1.146982,DTY;FDY;POY;PTA;聚酯,DTY(0.575); PTA(0.199); POY(0.184); FDY(0.142); 营业房出租(0.140); 切片聚酯(0.047); BT项目管理费(0.034); 热电(0.016)
002145.SZ,中核钛白,220206,钛白粉,2.066546,1.066546,丙烯;聚丙烯;钛白粉;钛精矿,金红石型钛白粉成品(0.990); 氧化铁(0.051); 锐钛型钛白粉(0.040); 钛精矿(0.036); 铁矿(0.036); 硫酸亚铁(0.004); 砂滤水(0.004); 化工设备设计(0.001)
600230.SH,沧州大化,220313,聚氨酯,2.013382,1.013382,TDI;尿素;烧碱,TDT(0.949); TDI(0.520); 尿素(0.427); DNT(0.088); 离子膜烧碱(0.066); 液氯(0.018); 液氨(0.018); 盐酸(0.011)
603505.SH,金石资源,220311,氟化工,1.99331,0.99331,萤石,自产酸级萤石精粉(0.762); 自产高品位萤石块矿(0.137); 自产冶金级萤石精粉(0.059); 外购酸级萤石精粉(0.031); 自产普通萤石原矿(0.002); 萤石地下开采(0.001); 萤石矿及其他非金属矿(0.001); 固体矿产勘查(0.001)
603332.SH,苏州龙杰,220401,涤纶,1.989856,0.989856,DTY;FDY;POY,FDY差别化(0.702); DTY差别化(0.192); POY差别化(0.096); 化纤原料购销(0.001)
