ticker,company_name,report_year,report_date,product_name,capacity_text,capacity_wan_ton_per_year,capacity_unit,value_modifier,capacity_scope,capacity_utilization,source_page,source_url,evidence_summary,review_note
000422.SZ,湖北宜化,2025,2026-04-25,PVC,90万吨/年,90,万吨/年,exact,product,122.39%,11,http://static.cninfo.com.cn/finalpage/2026-04-25/1225183616.PDF,年报披露主要产品产能/设计产能表,
000422.SZ,湖北宜化,2025,2026-04-25,复合肥,70万吨/年,70,万吨/年,exact,product,,11,http://static.cninfo.com.cn/finalpage/2026-04-25/1225183616.PDF,年报披露主要产品产能/设计产能表,
000422.SZ,湖北宜化,2025,2026-04-25,季戊四醇,7万吨/年,7,万吨/年,exact,product,,11,http://static.cninfo.com.cn/finalpage/2026-04-25/1225183616.PDF,年报披露主要产品产能/设计产能表,
000422.SZ,湖北宜化,2025,2026-04-25,烧碱,94万吨/年,94,万吨/年,exact,product,,11,http://static.cninfo.com.cn/finalpage/2026-04-25/1225183616.PDF,年报披露主要产品产能/设计产能表,
000422.SZ,湖北宜化,2025,2026-04-25,尿素,216万吨/年,216,万吨/年,exact,product,97.29%,14,http://static.cninfo.com.cn/finalpage/2026-04-25/1225183616.PDF,年报披露主要产品产能/设计产能表,
000422.SZ,湖北宜化,2025,2026-04-25,煤炭,3000万吨/年,3000,万吨/年,exact,product,85.91%,14,http://static.cninfo.com.cn/finalpage/2026-04-25/1225183616.PDF,年报披露主要产品产能/设计产能表,
000422.SZ,湖北宜化,2025,2026-04-25,磷铵,165万吨/年,165,万吨/年,exact,product_group,111.26%,14,http://static.cninfo.com.cn/finalpage/2026-04-25/1225183616.PDF,年报披露主要产品产能/设计产能表,磷铵为合并口径，未拆分磷酸一铵/磷酸二铵
000830.SZ,鲁西化工,2025,2026-04-29,尼龙6,70万吨/年,70,万吨/年,exact,product,97.36%,10,http://static.cninfo.com.cn/finalpage/2026-04-29/1225240339.PDF,年报主要产品产能情况表,
000830.SZ,鲁西化工,2025,2026-04-29,己内酰胺,70万吨/年,70,万吨/年,exact,product,102.29%,10,http://static.cninfo.com.cn/finalpage/2026-04-29/1225240339.PDF,年报主要产品产能情况表,
000830.SZ,鲁西化工,2025,2026-04-29,有机硅,45万吨/年,45,万吨/年,exact,product,76.65%,10,http://static.cninfo.com.cn/finalpage/2026-04-29/1225240339.PDF,年报主要产品产能情况表,报告期内有机硅项目试生产，表内列设计产能45万吨
000830.SZ,鲁西化工,2025,2026-04-29,甲酸,40万吨/年,40,万吨/年,exact,product,98.24%,10,http://static.cninfo.com.cn/finalpage/2026-04-29/1225240339.PDF,年报主要产品产能情况表,
002092.SZ,中泰化学,2025,2026-03-26,甲醇,100万吨/年,100,万吨/年,exact,product,89.76%,15,http://static.cninfo.com.cn/finalpage/2026-03-26/1225032750.PDF,年报主要产品产能情况表,甲醇于2025年6月全面投产，利用率按6-12月计算
002092.SZ,中泰化学,2025,2026-03-26,离子膜烧碱,186万吨/年,186,万吨/年,exact,product,95.00%,15,http://static.cninfo.com.cn/finalpage/2026-03-26/1225032750.PDF,年报主要产品产能情况表,
002092.SZ,中泰化学,2025,2026-03-26,粘胶纤维,88万吨/年,88,万吨/年,exact,product,61.75%,15,http://static.cninfo.com.cn/finalpage/2026-03-26/1225032750.PDF,年报主要产品产能情况表,
002092.SZ,中泰化学,2025,2026-03-26,粘胶纱线,320万锭/年,,万锭/年,exact,product,86.92%,15,http://static.cninfo.com.cn/finalpage/2026-03-26/1225032750.PDF,年报主要产品产能情况表,
002092.SZ,中泰化学,2025,2026-03-26,聚氯乙烯树脂,260万吨/年,260,万吨/年,exact,product,98.00%,15,http://static.cninfo.com.cn/finalpage/2026-03-26/1225032750.PDF,年报主要产品产能情况表,
002145.SZ,中核钛白,2025,2026-04-29,磷矿石,50万吨/年,50,万吨/年,exact,product,90.61%,14,http://static.cninfo.com.cn/finalpage/2026-04-29/1225225963.PDF,年报主要产品产能情况表,
002145.SZ,中核钛白,2025,2026-04-29,磷酸铁,10万吨/年,10,万吨/年,exact,product,41.09%,14,http://static.cninfo.com.cn/finalpage/2026-04-29/1225225963.PDF,年报主要产品产能情况表,
002145.SZ,中核钛白,2025,2026-04-29,钛白粉,70万吨/年,70,万吨/年,exact,product,71.28%,14,http://static.cninfo.com.cn/finalpage/2026-04-29/1225225963.PDF,年报主要产品产能情况表,
002145.SZ,中核钛白,2025,2026-04-29,黄磷,12万吨/年,12,万吨/年,exact,product,30.09%,14,http://static.cninfo.com.cn/finalpage/2026-04-29/1225225963.PDF,年报主要产品产能情况表,
002258.SZ,利尔化学,2025,2026-03-28,农药,"235,527吨/年",23.5527,吨/年,exact,product_group,87.86%,9,http://static.cninfo.com.cn/finalpage/2026-03-28/1225039540.PDF,年报主要产品产能情况表,聚合口径，未拆到草铵膦/草甘膦/吡啶
002258.SZ,利尔化学,2025,2026-03-28,化工产品（含中间体）,"186,900吨/年",18.69,吨/年,exact,product_group,50.53%,9,http://static.cninfo.com.cn/finalpage/2026-03-28/1225039540.PDF,年报主要产品产能情况表,部分化工中间体为配套自用
002601.SZ,龙佰集团,2025,2026-04-28,海绵钛,8万吨/年,8,万吨/年,exact,product,89.11%,18,http://static.cninfo.com.cn/finalpage/2026-04-28/1225206979.PDF,年报主要产品产能情况表,
002601.SZ,龙佰集团,2025,2026-04-28,磷酸铁,10万吨/年,10,万吨/年,exact,product,86.23%,18,http://static.cninfo.com.cn/finalpage/2026-04-28/1225206979.PDF,年报主要产品产能情况表,另有10万吨/年在建产能，处于调试/试生产阶段
002601.SZ,龙佰集团,2025,2026-04-28,磷酸铁（在建）,10万吨/年,10,万吨/年,exact,in_build_capacity,,18,http://static.cninfo.com.cn/finalpage/2026-04-28/1225206979.PDF,年报主要产品产能情况表,在建产能，不计入现有产能
002601.SZ,龙佰集团,2025,2026-04-28,钛白粉,151万吨/年,151,万吨/年,exact,product,84.53%,18,http://static.cninfo.com.cn/finalpage/2026-04-28/1225206979.PDF,年报主要产品产能情况表,
600096.SH,云天化,2025,2026-03-24,磷肥,555万吨/年,555,万吨/年,exact,product_group,,9,http://static.cninfo.com.cn/finalpage/2026-03-24/1225025863.PDF,年报市场地位或产能与开工情况披露,合并口径，包含磷酸一铵/磷酸二铵等
600096.SH,云天化,2025,2026-03-24,饲料级磷酸钙盐,50万吨/年,50,万吨/年,exact,product,,10,http://static.cninfo.com.cn/finalpage/2026-03-24/1225025863.PDF,年报市场地位或产能与开工情况披露,其中MDCP产能45万吨
600096.SH,云天化,2025,2026-03-24,合成氨,270万吨/年,270,万吨/年,exact,product,,19,http://static.cninfo.com.cn/finalpage/2026-03-24/1225025863.PDF,年报市场地位或产能与开工情况披露,技改后合成氨产能
600096.SH,云天化,2025,2026-03-24,复合肥,185万吨/年,185,万吨/年,exact,product,,19,http://static.cninfo.com.cn/finalpage/2026-03-24/1225025863.PDF,年报市场地位或产能与开工情况披露,年报披露化肥总产能口径中的复合肥
600096.SH,云天化,2025,2026-03-24,磷矿石采选,1450万吨/年,1450,万吨/年,exact,product_group,,19,http://static.cninfo.com.cn/finalpage/2026-03-24/1225025863.PDF,年报市场地位或产能与开工情况披露,原矿生产能力；另有擦洗选矿618、浮选750万吨/年
600096.SH,云天化,2025,2026-03-24,尿素,291万吨/年,291,万吨/年,exact,product,,35,http://static.cninfo.com.cn/finalpage/2026-03-24/1225025863.PDF,年报市场地位或产能与开工情况披露,由水富76、金新112、大为43、青海60合计；年报亦描述为超290万吨/年
600096.SH,云天化,2025,2026-03-24,电池新材料前驱体,10万吨/年,10,万吨/年,exact,product,,35,http://static.cninfo.com.cn/finalpage/2026-03-24/1225025863.PDF,年报市场地位或产能与开工情况披露,对应磷酸铁前驱体口径
600096.SH,云天化,2025,2026-03-24,聚甲醛,9万吨/年,9,万吨/年,exact,product,,35,http://static.cninfo.com.cn/finalpage/2026-03-24/1225025863.PDF,年报市场地位或产能与开工情况披露,产能与开工情况表
600096.SH,云天化,2025,2026-03-24,黄磷,3万吨/年,3,万吨/年,exact,product,,35,http://static.cninfo.com.cn/finalpage/2026-03-24/1225025863.PDF,年报市场地位或产能与开工情况披露,福石科技/黄磷表内设计产能
600096.SH,云天化,2025,2026-03-24,湿法精制磷酸,20万吨/年,20,万吨/年,exact,product,,36,http://static.cninfo.com.cn/finalpage/2026-03-24/1225025863.PDF,年报市场地位或产能与开工情况披露,产能与开工情况表
600141.SH,兴发集团,2025,2026-04-04,功能湿电子化学品,5.4万吨/年,5.4,万吨/年,exact,product,,9,http://static.cninfo.com.cn/finalpage/2026-04-04/1225080143.PDF,年报业务与行业地位段落披露,兴福电子已建成产能
600141.SH,兴发集团,2025,2026-04-04,电子级双氧水,6万吨/年,6,万吨/年,exact,product,,9,http://static.cninfo.com.cn/finalpage/2026-04-04/1225080143.PDF,年报业务与行业地位段落披露,兴福电子已建成产能
600141.SH,兴发集团,2025,2026-04-04,电子级氨水,2万吨/年,2,万吨/年,exact,product,,9,http://static.cninfo.com.cn/finalpage/2026-04-04/1225080143.PDF,年报业务与行业地位段落披露,兴福电子已建成产能
600141.SH,兴发集团,2025,2026-04-04,电子级硫酸,10万吨/年,10,万吨/年,exact,product,,9,http://static.cninfo.com.cn/finalpage/2026-04-04/1225080143.PDF,年报业务与行业地位段落披露,兴福电子已建成产能
600141.SH,兴发集团,2025,2026-04-04,电子级磷酸,6万吨/年,6,万吨/年,exact,product,,9,http://static.cninfo.com.cn/finalpage/2026-04-04/1225080143.PDF,年报业务与行业地位段落披露,兴福电子已建成产能
600141.SH,兴发集团,2025,2026-04-04,磷矿石,642.2万吨/年,642.2,万吨/年,exact,product,,9,http://static.cninfo.com.cn/finalpage/2026-04-04/1225080143.PDF,年报业务与行业地位段落披露,设计产能；部分矿权仍处建设/探转采阶段
600141.SH,兴发集团,2025,2026-04-04,有机硅单体,60万吨/年,60,万吨/年,exact,product,,10,http://static.cninfo.com.cn/finalpage/2026-04-04/1225080143.PDF,年报业务与行业地位段落披露,公司现有有机硅单体设计产能
600141.SH,兴发集团,2025,2026-04-04,电子级氨气,1万吨/年,1,万吨/年,exact,product,,10,http://static.cninfo.com.cn/finalpage/2026-04-04/1225080143.PDF,年报业务与行业地位段落披露,联产产能
600141.SH,兴发集团,2025,2026-04-04,草甘膦制剂,11.7万吨/年,11.7,万吨/年,exact,product,,10,http://static.cninfo.com.cn/finalpage/2026-04-04/1225080143.PDF,年报业务与行业地位段落披露,草甘膦配套制剂产能
600141.SH,兴发集团,2025,2026-04-04,草甘膦原药,23万吨/年,23,万吨/年,exact,product,,10,http://static.cninfo.com.cn/finalpage/2026-04-04/1225080143.PDF,年报业务与行业地位段落披露,公司现有草甘膦原药设计产能
